case_id,model_variant,include_chi_prime,n_active,chi_t_over_2pi,target_family,random_seed,waveform_family,pulse_duration_ns,average_gate_fidelity,restricted_process_fidelity,restricted_fro_error,restricted_unitarity_error,state_transfer_fidelity_mean,state_transfer_fidelity_min,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,state_validation_ground_fidelity,state_validation_plus_fidelity,optimizer_success,optimizer_nfev,optimizer_runtime_s
chi_plus_chiprime_na2_chiT3p0_targetD_seed90210,chi_plus_chiprime,True,2,3.0,D,90210.0,baseline_multitone,1056.3380281690138,0.4544756128370205,0.3180945160462756,0.9338877487196172,3.7083032305867476e-06,0.44587498706607726,0.3201852145106798,1.0000000000000002,0.9999999999999999,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.7671744281182511,0.7640726699848183,0.9796974901738764,1.772491508508498,0.42139215688997383,0.418889185020781,,,
chi_plus_chiprime_na2_chiT3p0_targetD_seed90210,chi_plus_chiprime,True,2,3.0,D,90210.0,symmetric_two_segment,1056.3380281690138,0.43666147314719,0.2958268414339876,0.9551604699516405,2.3876826693110023e-06,0.42347918055499145,0.299556431826247,1.0,0.9999999999999998,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.7939468163675025,0.736380926068426,0.9736610835157969,1.835081089298997,0.389373785445607,0.3960477723124264,True,64.0,3.2642417999995814
chi_plus_chiprime_na2_chiT3p0_targetD_seed90210,chi_plus_chiprime,True,2,3.0,D,90210.0,complex_envelope,1056.3380281690138,0.458984502797762,0.32373062849720247,0.928545420714931,2.353047642150336e-06,0.44438681557729853,0.32473978838981693,1.0000000000000002,0.9999999999999998,0.0,0.0,5.551115123125783e-17,2.220446049250313e-16,0.7632607303369859,0.7033749401695465,0.8987937655878474,1.787404675372725,0.41142306881674257,0.42788586528717704,False,120.0,6.119673699999112
chi_plus_chiprime_na2_chiT3p0_targetD_seed90210,chi_plus_chiprime,True,2,3.0,D,90210.0,basis_expanded,1056.3380281690138,0.4619723991244298,0.3274654989055372,0.9250151467703888,2.178146485284087e-06,0.44825265405454456,0.32841330232217425,1.0,0.9999999999999997,0.0,0.0,1.1102230246251565e-16,3.3306690738754696e-16,0.7587265714184664,0.708638342946887,0.9035029002396059,1.7766132218267965,0.41679736205949797,0.43088449729246037,False,120.0,6.072771400002239
chi_plus_chiprime_na2_chiT5p0_targetC,chi_plus_chiprime,True,2,5.0,C,,baseline_multitone,1760.5633802816897,0.8733324866327774,0.8416656082909717,0.4066322347091923,1.4168580404030039e-06,0.8627171915745889,0.7678926886259515,1.0,0.9999999999999999,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.1815806230544568,0.07528910291676354,0.09212624941636133,0.785618624215136,0.8407187467693016,0.8945103891108486,,,
chi_plus_chiprime_na2_chiT5p0_targetC,chi_plus_chiprime,True,2,5.0,C,,symmetric_two_segment,1760.5633802816897,0.8722862980073692,0.8403578725092115,0.40838148410357755,1.4577232685041044e-06,0.8615816127235039,0.7659693093253594,0.9999999999999999,0.9999999999999997,0.0,0.0,1.6653345369377348e-16,3.3306690738754696e-16,0.18308109777704723,0.07503850468069048,0.09199495059163257,0.7890958790526055,0.8394184259891462,0.893468819805063,True,56.0,3.8078084999979183
chi_plus_chiprime_na2_chiT5p0_targetC,chi_plus_chiprime,True,2,5.0,C,,complex_envelope,1760.5633802816897,0.8740931436236483,0.8426164295295603,0.4053569057407617,1.6275996628269281e-06,0.8635308219663437,0.770366708849902,0.9999999999999998,0.9999999999999994,0.0,0.0,3.3306690738754696e-16,5.551115123125783e-16,0.18049452476433367,0.07478306414444937,0.09644324781402706,0.7839277003438694,0.8417246121992701,0.8931774814775342,True,60.0,4.035319899998285
chi_plus_chiprime_na2_chiT5p0_targetC,chi_plus_chiprime,True,2,5.0,C,,basis_expanded,1760.5633802816897,0.8741583955031971,0.8426979943789964,0.4052473158345602,9.764593340071146e-07,0.8636021937940372,0.7704929205319878,0.9999999999999998,0.9999999999999997,0.0,0.0,1.6653345369377348e-16,3.3306690738754696e-16,0.18040072151675796,0.07484928177226062,0.09649385129851683,0.7837088196773058,0.8418052493689894,0.893234320502954,True,74.0,4.958402100000967
chi_plus_chiprime_na2_chiT5p0_targetD_seed90210,chi_plus_chiprime,True,2,5.0,D,90210.0,baseline_multitone,1760.5633802816897,0.45214054324175884,0.31517567905219857,0.936651155373835,4.328924799653824e-06,0.4444012659915784,0.3176656545291379,0.9999999999999999,0.9999999999999998,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.7700988752949417,0.7750546585815468,0.9923124681314467,1.7744596056002724,0.4213614722241399,0.41501215643808437,,,
chi_plus_chiprime_na2_chiT5p0_targetD_seed90210,chi_plus_chiprime,True,2,5.0,D,90210.0,symmetric_two_segment,1760.5633802816897,0.4482502591152905,0.31031282389411313,0.9412809591376678,1.1396018731237464e-06,0.43614373035677,0.3121241894446987,1.0,1.0,0.0,0.0,0.0,0.0,0.7772922606224327,0.7407597965679644,0.9450852095541368,1.8023137822275301,0.40691411277450573,0.4135314484123358,True,64.0,5.073585800000728
chi_plus_chiprime_na2_chiT5p0_targetD_seed90210,chi_plus_chiprime,True,2,5.0,D,90210.0,complex_envelope,1760.5633802816897,0.46484826024937026,0.33106032531171287,0.92161550846941,3.382286828394052e-06,0.45449010387803374,0.33181533726549417,0.9999999999999999,0.9999999999999997,0.0,0.0,1.942890293094024e-16,3.3306690738754696e-16,0.7533556434895925,0.7400786392521317,0.9284218806835693,1.7554381115193167,0.42928724039134625,0.4329304991638633,True,66.0,5.114999900000839
chi_plus_chiprime_na2_chiT5p0_targetD_seed90210,chi_plus_chiprime,True,2,5.0,D,90210.0,basis_expanded,1760.5633802816897,0.46567641154736583,0.33209551443420726,0.9206401135610031,3.3331687507019058e-06,0.45545637011844525,0.33281495917976767,1.0,0.9999999999999999,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.7521411074703418,0.7404429494424026,0.9279483155213124,1.752845026960753,0.4305361811851395,0.4337898729037914,True,71.0,5.501702000001387
