family_key,family_label,blocks,n_active,order_label,order_pretty,levels,screen_fidelity,screen_duration_ns,screen_gate_depth,replay_n12_fidelity,replay_n12_leakage,replay_n12_unitarity_error
drsqr,D + R + SQR,5,3,DRS,D > R > SQR,0-1-2,0.6794228809088972,6180.0,16,0.6793579831242723,0.01988148557923841,3.0420646495313654e-14
drsqr,D + R + SQR,3,4,RDS,R > D > SQR,0-1-2-3,0.6797345634497857,3740.0,10,0.6793192688979283,0.012433127462505245,4.5856475925313705e-15
drsqr,D + R + SQR,3,4,DRS,D > R > SQR,0-1-2-3,0.6795286563598405,3740.0,10,0.6791283721665181,0.012233193839064627,1.9163893640016008e-14
drsqr,D + R + SQR,5,4,DSR,D > SQR > R,0-1-2-3,0.6781016493717545,6180.0,16,0.6773963626917454,0.012035585762874224,3.576169313901234e-14
drsqr,D + R + SQR,3,3,DRS,D > R > SQR,0-1-2,0.6760499391578935,3740.0,10,0.6760283162908818,0.016254629416700084,2.6677599331425258e-14
drsqr,D + R + SQR,3,3,RDS,R > D > SQR,0-1-2,0.6759416903936161,3740.0,10,0.6759196202198007,0.016612276142677573,1.333032614120315e-14
drsqr,D + R + SQR,5,3,DSR,D > SQR > R,0-1-2,0.6739909989779755,6180.0,16,0.6740671108663117,0.02193274180777538,3.1892800425857804e-14
drsqr,D + R + SQR,5,4,SRD,SQR > R > D,0-1-2-3,0.6729761199027685,6180.0,16,0.6726838730194961,0.062897990796563,5.424600590222582e-14
drsqr,D + R + SQR,5,4,SDR,SQR > D > R,0-1-2-3,0.6729689901189495,6180.0,16,0.672676554627047,0.06288395170838834,4.3328735191740176e-14
drcpsqr,D + R + CPSQR,4,2,DRCP,D > R > CPSQR,0-1,0.6954681368682226,1148.0,13,0.6711110571790881,0.3991560392891508,4.603707326162928e-15
drcpsqr,D + R + CPSQR,4,1,DRCP,D > R > CPSQR,0,0.6844022415156203,1206.0,13,0.6707389963891555,0.31865444986358005,4.4884701235829685e-15
drsqr,D + R + SQR,5,3,SRD,SQR > R > D,0-1-2,0.6694425905574469,6180.0,16,0.6694499079221439,0.05792696524812735,3.851767653359186e-14
drsqr,D + R + SQR,5,3,SDR,SQR > D > R,0-1-2,0.6694265238190038,6180.0,16,0.6694310727741613,0.058185129520429424,3.4065669874375495e-14
drsqr,D + R + SQR,5,1,SRD,SQR > R > D,0,0.6639836092287685,6180.0,16,0.6639963844901979,0.04888877609991882,1.3354650434994296e-14
drsqr,D + R + SQR,5,1,SDR,SQR > D > R,0,0.663584113827368,6180.0,16,0.6636015701452445,0.048594428590161276,5.076661500001243e-15
drsqr,D + R + SQR,5,4,RSD,R > SQR > D,0-1-2-3,0.6618910000089422,6180.0,16,0.6611972611283619,0.09426558368409388,2.4511153603006795e-14
drcpsqr,D + R + CPSQR,3,2,CPRD,CPSQR > R > D,0-1,0.6601517139624306,962.0,10,0.6600585431249507,0.09902191087539347,1.5541233642698442e-14
drsqr,D + R + SQR,3,4,DSR,D > SQR > R,0-1-2-3,0.6578062676493106,3740.0,10,0.6576983849520028,0.010447571605262329,3.21347018755428e-14
drsqr,D + R + SQR,3,3,DSR,D > SQR > R,0-1-2,0.6571963419838515,3740.0,10,0.6571434465227707,0.0086724662465536,3.736835476932843e-14
drsqr,D + R + SQR,5,3,RSD,R > SQR > D,0-1-2,0.6569765666961669,6180.0,16,0.656921753778144,0.08586411783675207,1.7759647423434087e-14
drsqr,D + R + SQR,5,1,RDS,R > D > SQR,0,0.655054516117471,6180.0,16,0.6550603193953737,0.04876287811114577,3.367249685735663e-14
drsqr,D + R + SQR,5,1,DRS,D > R > SQR,0,0.6548333788974837,6180.0,16,0.6548269180756593,0.04867232292527379,4.241041959815143e-14
drsqr,D + R + SQR,5,2,SDR,SQR > D > R,0-1,0.653974795765615,6180.0,16,0.653914839234754,0.08383220099042465,3.320535978569203e-14
drcpsqr,D + R + CPSQR,3,4,RCPD,R > CPSQR > D,0-1-2-3,0.6538800923168817,892.0,10,0.6538064582907567,0.06564413933774993,1.9306642714833056e-14
drsqr,D + R + SQR,5,2,SRD,SQR > R > D,0-1,0.6533947672470719,6180.0,16,0.6533350929446073,0.08441205194578594,5.60017554386283e-14
drcpsqr,D + R + CPSQR,3,4,RDCP,R > D > CPSQR,0-1-2-3,0.6527065760204533,891.0,10,0.6525681345811615,0.03792824497701708,8.871849858909607e-15
drcpsqr,D + R + CPSQR,3,3,RDCP,R > D > CPSQR,0-1-2,0.6524553219555067,891.0,10,0.6522771776863906,0.06249494633264874,3.331572591282261e-14
drsqr,D + R + SQR,5,1,RSD,R > SQR > D,0,0.6507756511190308,6180.0,16,0.6507107366721877,0.047463311441349854,3.4568492262971994e-14
