n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,storage_target_probability,storage_total_f_probability,dump_witness_target_probability,dump_witness_readout_n
3,-3.5,400.0,0.17320508075688773,0.026712155365628355,0.026712155365628355,0.0266021390906961,0.0266021390906961
3,-3.0,400.0,0.17320508075688773,0.015892586020163343,0.015892586020163343,0.015827092909215867,0.015827092909215863
3,-2.5,400.0,0.17320508075688773,0.000411633211458339,0.00041163321145833897,0.0004099305061484825,0.0004099305061484825
3,-2.0,400.0,0.17320508075688773,0.02030038447035463,0.020300384470354635,0.02021674410832549,0.02021674410832549
3,-1.5,400.0,0.17320508075688773,0.11076811010727912,0.1107681101072791,0.11031213068905961,0.1103121306890596
3,-1.0,400.0,0.17320508075688773,0.26129391706179067,0.26129391706179067,0.2602190142070704,0.26021901420707044
3,-0.5,400.0,0.17320508075688773,0.40681949613319934,0.4068194961331993,0.40514685635984427,0.4051468563598442
3,0.0,400.0,0.17320508075688773,0.4672570338529764,0.46725703385297646,0.4653362201088568,0.4653362201088568
3,0.5,400.0,0.17320508075688773,0.4066340408791149,0.40663404087911487,0.4049621536355799,0.40496215363557986
3,1.0,400.0,0.17320508075688773,0.2610498424399439,0.26104984243994395,0.25997593940189884,0.2599759394018989
3,1.5,400.0,0.17320508075688773,0.11059489320915289,0.11059489320915288,0.11013962187039207,0.11013962187039206
3,2.0,400.0,0.17320508075688773,0.020288436217258433,0.020288436217258437,0.02020483028983542,0.020204830289835416
3,2.5,400.0,0.17320508075688773,0.00040815099660257713,0.0004081509966025772,0.0004064653919074256,0.0004064653919074256
3,3.0,400.0,0.17320508075688773,0.01593098583373791,0.01593098583373791,0.015865331446389217,0.015865331446389217
3,3.5,400.0,0.17320508075688773,0.02657975409234579,0.026579754092345788,0.02647029154508386,0.026470291545083863
3,4.0,400.0,0.17320508075688773,0.01899049014074209,0.018990490140742087,0.0189122462612284,0.018912246261228397
3,4.5,400.0,0.17320508075688773,0.005202175143299009,0.00520217514329901,0.005180709164492823,0.0051807091644928225
3,5.0,400.0,0.17320508075688773,2.6497249595178324e-05,2.6497249595178327e-05,2.6360875116818917e-05,2.6360875116818917e-05
3,5.5,400.0,0.17320508075688773,0.00446972544352076,0.00446972544352076,0.004451283967572306,0.0044512839675723065
3,6.0,400.0,0.17320508075688773,0.009093205259243762,0.009093205259243762,0.009055709071802198,0.009055709071802198
3,6.5,400.0,0.17320508075688773,0.00741068885646824,0.0074106888564682396,0.007380135890002868,0.007380135890002869
3,7.0,400.0,0.17320508075688773,0.0023162954058470147,0.002316295405847015,0.0023067630812277553,0.0023067630812277553
3,7.5,400.0,0.17320508075688773,4.321186553934163e-06,4.321186553934162e-06,4.296901904227028e-06,4.296901904227028e-06
3,8.0,400.0,0.17320508075688773,0.0020421300956388146,0.0020421300956388146,0.0020337002212067433,0.0020337002212067433
3,8.5,400.0,0.17320508075688773,0.004519905812580063,0.004519905812580063,0.004501250443459466,0.004501250443459465
3,9.0,400.0,0.17320508075688773,0.003921006818293017,0.003921006818293016,0.0039048203868910928,0.003904820386891093
3,9.5,400.0,0.17320508075688773,0.001299511873060657,0.001299511873060657,0.0012941449653496807,0.001294144965349681
3,10.0,400.0,0.17320508075688773,9.167202281644498e-07,9.167202281644497e-07,9.096396390575019e-07,9.096396390575019e-07
4,-10.0,400.0,0.15,1.2505336385026185e-06,1.2505336385026187e-06,1.2412945970615806e-06,1.2412945970615806e-06
4,-9.5,400.0,0.15,0.0012973946195556163,0.0012973946195556163,0.001292019280874013,0.0012920192808740128
4,-9.0,400.0,0.15,0.003934903242812141,0.003934903242812141,0.003918606375834526,0.003918606375834525
4,-8.5,400.0,0.15,0.004537767102006182,0.004537767102006181,0.004518979032226611,0.004518979032226611
4,-8.0,400.0,0.15,0.002052863787305973,0.0020528637873059733,0.002044357939926377,0.002044357939926377
4,-7.5,400.0,0.15,4.593826949434534e-06,4.593826949434533e-06,4.56807564466827e-06,4.5680756446682706e-06
4,-7.0,400.0,0.15,0.002316458500868468,0.002316458500868468,0.002306859594856327,0.002306859594856327
4,-6.5,400.0,0.15,0.007443675249369332,0.007443675249369331,0.007412878881454498,0.007412878881454497
4,-6.0,400.0,0.15,0.009097282407593145,0.009097282407593145,0.009059669944422016,0.009059669944422017
4,-5.5,400.0,0.15,0.004459844401908543,0.004459844401908543,0.004441375839554492,0.004441375839554492
4,-5.0,400.0,0.15,2.4538873874109463e-05,2.4538873874109466e-05,2.4402159339226137e-05,2.4402159339226134e-05
4,-4.5,400.0,0.15,0.005240523008645992,0.005240523008645992,0.005218825796352653,0.005218825796352653
4,-4.0,400.0,0.15,0.01905636181908253,0.01905636181908253,0.018977557016782425,0.018977557016782422
4,-3.5,400.0,0.15,0.026608478158948786,0.02660847815894879,0.02649847519373903,0.02649847519373903
4,-3.0,400.0,0.15,0.0159602981800098,0.015960298180009796,0.015894279240344863,0.015894279240344866
