n,detuning_MHz,probe_duration_ns,probe_amplitude_MHz,dump_target_probability,readout_n,final_f_probability
3,-0.5,400.0,0.3,0.40725778203652113,0.4072577820365211,0.5927422179634787
3,0.0,400.0,0.3,0.4677726893280949,0.4677726893280949,0.5322273106719052
3,0.5,400.0,0.3,0.40710460684853983,0.4071046068485399,0.5928953931514603
3,1.0,400.0,0.3,0.2613664977632454,0.26136649776324533,0.7386335022367545
3,1.5,400.0,0.3,0.11072643749298546,0.11072643749298544,0.8892735625070147
3,2.0,400.0,0.3,0.02025654901463447,0.02025654901463447,0.9797434509853655
3,2.5,400.0,0.3,0.00041951023799999363,0.0004195102379999936,0.9995804897619999
3,3.0,400.0,0.3,0.015987413680210692,0.015987413680210692,0.9840125863197893
3,3.5,400.0,0.3,0.026722320898269664,0.02672232089826966,0.9732776791017307
3,4.0,400.0,0.3,0.019108909198382713,0.019108909198382713,0.9808910908016171
3,4.5,400.0,0.3,0.005241515181202515,0.005241515181202516,0.9947584848187978
3,5.0,400.0,0.3,2.5742093467898936e-05,2.574209346789894e-05,0.999974257906532
3,5.5,400.0,0.3,0.004485904326663069,0.004485904326663069,0.9955140956733369
3,6.0,400.0,0.3,0.009124465509823943,0.009124465509823942,0.9908755344901761
3,6.5,400.0,0.3,0.00745907907206751,0.0074590790720675095,0.9925409209279327
3,7.0,400.0,0.3,0.0023155993051130323,0.0023155993051130323,0.9976844006948871
3,7.5,400.0,0.3,4.429892840036604e-06,4.429892840036604e-06,0.9999955701071599
3,8.0,400.0,0.3,0.0020567999075099077,0.0020567999075099077,0.9979432000924902
3,8.5,400.0,0.3,0.004534303158655474,0.004534303158655475,0.9954656968413448
3,9.0,400.0,0.3,0.003935024903240225,0.003935024903240225,0.9960649750967601
3,9.5,400.0,0.3,0.0012969662600691553,0.001296966260069155,0.9987030337399309
3,10.0,400.0,0.3,1.1161504907351312e-06,1.1161504907351312e-06,0.9999988838495092
4,-10.0,400.0,0.3,1.0782219261031174e-06,1.0782219261031172e-06,0.999998921778074
4,-9.5,400.0,0.3,0.0013028966029464022,0.0013028966029464024,0.9986971033970535
4,-9.0,400.0,0.3,0.00394946802298097,0.003949468022980969,0.9960505319770191
4,-8.5,400.0,0.3,0.00454813946081453,0.004548139460814529,0.9954518605391858
4,-8.0,400.0,0.3,0.0020612704820040066,0.0020612704820040066,0.9979387295179961
4,-7.5,400.0,0.3,4.3207721535410375e-06,4.320772153541037e-06,0.9999956792278462
4,-7.0,400.0,0.3,0.002324321554490205,0.0023243215544902045,0.9976756784455098
4,-6.5,400.0,0.3,0.007479663416852851,0.007479663416852851,0.9925203365831469
4,-6.0,400.0,0.3,0.009143423306361594,0.009143423306361594,0.9908565766936385
4,-5.5,400.0,0.3,0.004490932717626039,0.00449093271762604,0.9955090672823736
4,-5.0,400.0,0.3,2.5314924478885465e-05,2.5314924478885465e-05,0.999974685075521
4,-4.5,400.0,0.3,0.0052570741422058274,0.005257074142205827,0.9947429258577941
4,-4.0,400.0,0.3,0.019144923946600684,0.01914492394660068,0.9808550760533993
4,-3.5,400.0,0.3,0.026754287896939975,0.026754287896939975,0.97324571210306
4,-3.0,400.0,0.3,0.015991847317198393,0.015991847317198396,0.9840081526828015
4,-2.5,400.0,0.3,0.0004160825465289735,0.0004160825465289735,0.9995839174534707
4,-2.0,400.0,0.3,0.02030446179142234,0.020304461791422344,0.9796955382085778
4,-1.5,400.0,0.3,0.11086253244481825,0.11086253244481825,0.8891374675551821
4,-1.0,400.0,0.3,0.2615450938973289,0.26154509389732883,0.7384549061026712
4,-0.5,400.0,0.3,0.40721147276708025,0.4072114727670803,0.5927885272329197
4,0.0,400.0,0.3,0.4677170147654371,0.46771701476543703,0.5322829852345627
4,0.5,400.0,0.3,0.407054642242586,0.40705464224258603,0.5929453577574141
4,1.0,400.0,0.3,0.26133385353915334,0.26133385353915334,0.7386661464608468
