rank,construction,ansatz,envelope,duration_ns,n_active,f_unitary,f_decoherence,f_practical,mean_abs_eps_z,mean_abs_eps_perp,parameter_count,study,case_id
840,symmetric echo,echoed_fixed_total,gaussian,352.112676056338,3,0.0091847580172043,0.9813958904975115,0.009013883773298372,,,20,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na3_chiT1p0_familyD_seed317159
841,symmetric echo,echoed_fixed_total,gaussian,1760.5633802816897,2,0.0098369688865614,0.9103767869122359,0.008955348127903402,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT5p0_familyD_seed316160
842,echoed,echoed multitone,gaussian,1056.3380281690138,4,0.0094644825917793,0.9452195710415633,0.008946014175531973,,,27,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetC
843,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,3,0.0091130943142807,0.9452195710415633,0.008613875098605714,,,20,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na3_chiT3p0_familyD_seed317159
844,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,2,0.0090395569435077,0.9452195710415633,0.008544366136548133,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT3p0_familyD_seed316161
845,symmetric echo,echoed_fixed_total,gaussian,1760.5633802816897,3,0.0091059505020818,0.9103767869122359,0.00828984595986709,,,20,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na3_chiT5p0_familyD_seed317159
846,symmetric echo,echoed_fixed_total,gaussian,352.112676056338,2,0.0083104967027437,0.9813958904975115,0.008155887312065787,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na2_chiT1p0_familyD_seed316260
847,echoed,echoed multitone,gaussian,1056.3380281690138,3,0.0085842957466256,0.9452195710415633,0.008114044343319367,,,21,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93342
848,direct,baseline multitone,gaussian,1056.3380281690138,4,0.0084052614384211,0.9452195710415633,0.007944817611316586,,,12,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94340
849,basis-expanded,basis expanded,gaussian,1056.3380281690138,4,0.0083896414758167,0.9452195710415633,0.007930053316963968,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94340
850,rich envelope,complex envelope,rich envelope,1056.3380281690138,4,0.0083895695798909,0.9452195710415633,0.007929985359527825,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94340
851,symmetric echo,echoed_fixed_total,gaussian,1760.5633802816897,2,0.0086267600488051,0.9103767869122359,0.00785360209469403,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT5p0_familyD_seed316161
852,two-segment direct,symmetric two segment,gaussian,1056.3380281690138,4,0.0081796625002085,0.9452195710415633,0.0077315770797118395,,,24,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94340
853,CPSQR echo,echoed cpsqr,rich envelope,1056.3380281690138,3,0.0081101351876858,0.9411952255805155,0.007633220517462413,1.3933630114143325,1.9936879131025222,21,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_smooth_x_na3_chiT3p0
854,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,2,0.0076941821156234,0.9452195710415633,0.007272691518845218,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na2_chiT3p0_familyD_seed316260
855,single pulse,single_pulse,gaussian,1056.3380281690138,2,0.0076678993941958,0.9452195710415633,0.007247848576171617,,,6,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT3p0_familyD_seed316160
856,single pulse,single_pulse,gaussian,1760.5633802816897,2,0.007296124146007,0.9103767869122359,0.006642222056954633,,,6,multitone_sqr_arbitrary_fock_conditional_rotations,chi_only_na2_chiT5p0_familyD_seed316160
857,symmetric echo,echoed_fixed_total,gaussian,1760.5633802816897,2,0.0072589169619612,0.9103767869122359,0.006608349500292966,,,14,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na2_chiT5p0_familyD_seed316260
858,basis-expanded,basis expanded,gaussian,1056.3380281690138,3,0.0069477602935586,0.9452195710415633,0.006567159004377066,,,15,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93340
859,rich envelope,complex envelope,rich envelope,1056.3380281690138,3,0.0069467614322905,0.9452195710415633,0.006566214861157702,,,15,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93340
860,two-segment direct,symmetric two segment,gaussian,1056.3380281690138,3,0.0069137790179891,0.9452195710415633,0.0065350392376598175,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93340
861,direct,baseline multitone,gaussian,1056.3380281690138,3,0.0068757646335318,0.9452195710415633,0.00649910729748968,,,9,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na3_chiT3p0_targetD_seed93340
862,symmetric echo,echoed_fixed_total,gaussian,1760.5633802816897,4,0.0070802300203212,0.9103767869122359,0.006445677056499569,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT5p0_familyD_seed318259
863,symmetric echo,echoed_fixed_total,gaussian,1056.3380281690138,4,0.006722380192152,0.9452195710415633,0.006354125321604215,,,26,multitone_sqr_arbitrary_fock_conditional_rotations,chi_plus_chiprime_na4_chiT3p0_familyD_seed318260
864,basis-expanded,basis expanded,gaussian,1056.3380281690138,4,0.0059022467739725,0.9452195710415633,0.005578919163875737,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94341
865,rich envelope,complex envelope,rich envelope,1056.3380281690138,4,0.0059017258331915,0.9452195710415633,0.005578426760454182,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94341
866,basis-expanded,basis expanded,gaussian,1056.3380281690138,4,0.005789026002665,0.9452195710415633,0.005471900674987467,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94342
867,rich envelope,complex envelope,rich envelope,1056.3380281690138,4,0.0057850081661902,0.9452195710415633,0.005468102937318241,,,18,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94342
868,direct,baseline multitone,gaussian,1056.3380281690138,4,0.0057578804296571,0.9452195710415633,0.005442461269829096,,,12,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94341
869,two-segment direct,symmetric two segment,gaussian,1056.3380281690138,4,0.0056558988684787,0.9452195710415633,0.0053460663023179,,,24,parameterized_waveform_residual_z_cancellation,chi_plus_chiprime_na4_chiT3p0_targetD_seed94341
