mode,criterion,n,amplitude_scale,detuning_MHz,target_probability,leakage_probability
storage,selective,2,1.1,-0.75,0.8402944154627449,1.6653345369377348e-16
storage,selective,2,1.1,-0.5,0.8955210138804942,1.8041124150158794e-16
storage,selective,2,1.1,-0.25,0.93022353278805,0.0
storage,selective,2,1.1,0.0,0.9419605557060706,9.71445146547012e-17
storage,selective,2,1.1,0.25,0.9301622954431107,0.0
storage,selective,2,1.1,0.5,0.8954728188188014,4.163336342344337e-17
storage,selective,2,1.1,0.75,0.8402008059357264,0.0
storage,selective,2,1.1,1.0,0.7677842547646105,3.0531133177191805e-16
storage,selective,2,1.1,1.25,0.6826282299030093,5.551115123125783e-17
storage,selective,2,1.1,1.5,0.5896760881025831,1.6653345369377348e-16
