n,mechanism,target_coupling_MHz,common_detuning_MHz,storage_leg_lab_frequency_GHz,readout_leg_lab_frequency_GHz,storage_leg_rotating_frequency_MHz,readout_leg_rotating_frequency_MHz,storage_matrix_element,readout_matrix_element,storage_amplitude_MHz,readout_amplitude_MHz,simulation_duration_ns,peak_target_probability,time_to_peak_target_ns,max_intermediate_probability,intermediate_at_target_peak,leakage_at_target_peak,final_target_probability,reduced_peak_target_probability,reduced_peak_time_ns,reduced_max_intermediate_probability,resonant_peak_time_ns,raman_peak_time_ns,peak_target_error_vs_reduced,peak_time_error_vs_reduced_ns,dominant_peak_states,dominant_final_states,source_label,intermediate_label,target_label
1,detuned_raman_like,6.0,16.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,6.0,6.0,150.00000000000003,0.9915332501121475,128.50000000000003,0.26453496073666966,3.467624027114049e-05,2.220446049250313e-16,0.6971752030038639,0.9917057761390146,128.50000000000003,0.2647005484923799,58.925565098878955,111.11111111111111,-0.0001725260268670148,0.0,"[[""|g,1,0>"", 0.9915332501121475], [""|g,0,1>"", 0.00843207364758118], [""|f,0,0>"", 3.467624027114049e-05]]","[[""|g,1,0>"", 0.6971752030038639], [""|f,0,0>"", 0.2636522975872597], [""|g,0,1>"", 0.03917249940887642]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,6.0,20.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,6.0,6.0,187.5,0.9937008285820395,152.50000000000003,0.20914805143435145,1.0507904522753955e-06,0.0,0.9041639937392942,0.9938511915666054,152.50000000000003,0.20929705602921586,58.925565098878955,138.8888888888889,-0.00015036298456594377,0.0,"[[""|g,1,0>"", 0.9937008285820395], [""|g,0,1>"", 0.006298120627508409], [""|f,0,0>"", 1.0507904522753955e-06]]","[[""|g,1,0>"", 0.9041639937392942], [""|g,0,1>"", 0.08200240850515073], [""|f,0,0>"", 0.013833597755555226]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,resonant_bright_state,8.0,0.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,8.0,8.0,80.0,0.9998765614042101,44.00000000000001,0.49995868527143683,0.00012343130651604734,0.0,0.008223388483520336,0.9999047414776887,44.00000000000001,0.4999761848022583,44.19417382415922,,-2.8180073478600853e-05,0.0,"[[""|g,1,0>"", 0.9998765614042101], [""|f,0,0>"", 0.00012343130651604734]]","[[""|g,0,1>"", 0.8269086883221606], [""|f,0,0>"", 0.16486792319431914], [""|g,1,0>"", 0.008223388483520336]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,8.0,4.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,8.0,8.0,120.00000000000001,0.9269808191222169,43.50000000000001,0.4847325179105412,4.748582084505091e-06,1.1102230246251565e-16,0.3415946849077258,0.9270744120565977,43.50000000000001,0.4847459412799671,44.19417382415922,15.625,-9.359293438082616e-05,0.0,"[[""|g,1,0>"", 0.9269808191222169], [""|g,0,1>"", 0.07301443229569851], [""|f,0,0>"", 4.748582084505091e-06]]","[[""|g,0,1>"", 0.41918227386462376], [""|g,1,0>"", 0.3415946849077258], [""|f,0,0>"", 0.23922304122765048]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,8.0,8.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,8.0,8.0,120.00000000000001,0.7504504669423014,83.5,0.4443140607050207,3.9941041703156346e-05,0.0,0.0011672837396466387,0.7499472794000486,83.5,0.44444444444444453,44.19417382415922,31.25,0.0005031875422528698,0.0,"[[""|g,1,0>"", 0.7504504669423014], [""|g,0,1>"", 0.24950959201599548], [""|f,0,0>"", 3.9941041703156346e-05]]","[[""|g,0,1>"", 0.933449249133859], [""|f,0,0>"", 0.0653834671264944], [""|g,1,0>"", 0.0011672837396466387]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,8.0,12.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,8.0,8.0,120.00000000000001,0.9903400029705898,78.00000000000001,0.39009532903792016,3.5158086863326934e-05,0.0,0.34777988509935787,0.9902330747210202,78.00000000000001,0.3902427104607191,44.19417382415922,46.875,0.00010692824956959335,0.0,"[[""|g,1,0>"", 0.9903400029705898], [""|g,0,1>"", 0.009624838942547297], [""|f,0,0>"", 3.5158086863326934e-05]]","[[""|g,0,1>"", 0.6347311039492267], [""|g,1,0>"", 0.34777988509935787], [""|f,0,0>"", 0.01748901095141539]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,8.0,16.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,8.0,8.0,120.00000000000001,0.9417240248713094,72.00000000000001,0.33316125202545643,9.204214353867575e-05,2.220446049250313e-16,0.5780339747431028,0.9420348283529578,72.00000000000001,0.33332883472155034,44.19417382415922,62.5,-0.0003108034816484695,0.0,"[[""|g,1,0>"", 0.9417240248713094], [""|g,0,1>"", 0.058183932985151836], [""|f,0,0>"", 9.204214353867575e-05]]","[[""|g,1,0>"", 0.5780339747431028], [""|f,0,0>"", 0.23665431159346273], [""|g,0,1>"", 0.185311713663435]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,8.0,20.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,8.0,8.0,120.00000000000001,0.9995575029065388,99.50000000000001,0.2805258778614498,4.659966720624646e-05,1.1102230246251565e-16,0.6141837839207369,0.9995053283828594,99.50000000000001,0.28069364470465324,44.19417382415922,78.125,5.217452367933806e-05,0.0,"[[""|g,1,0>"", 0.9995575029065388], [""|g,0,1>"", 0.0003958974262549498], [""|f,0,0>"", 4.659966720624646e-05]]","[[""|g,1,0>"", 0.6141837839207369], [""|f,0,0>"", 0.24281307873969135], [""|g,0,1>"", 0.1430031373395719]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,resonant_bright_state,10.0,0.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,10.0,10.0,80.0,0.9999397732513242,35.5,0.49995286946905104,6.0224600312930094e-05,0.0,0.02369041972400338,0.9999173871972258,35.5,0.49999569857444026,35.35533905932738,,2.2386054098433306e-05,0.0,"[[""|g,1,0>"", 0.9999397732513242], [""|f,0,0>"", 6.0224600312930094e-05]]","[[""|g,0,1>"", 0.7159411832863671], [""|f,0,0>"", 0.26036839698962927], [""|g,1,0>"", 0.02369041972400338]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,10.0,4.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,10.0,10.0,120.00000000000001,0.9523319208347314,35.0,0.4901547475924691,2.679130742002729e-06,0.0,0.34693795595028964,0.9523946077621376,35.0,0.49019603004128187,35.35533905932738,9.999999999999998,-6.268692740618587e-05,0.0,"[[""|g,1,0>"", 0.9523319208347314], [""|g,0,1>"", 0.047665400034526725], [""|f,0,0>"", 2.679130742002729e-06]]","[[""|f,0,0>"", 0.4602941684999275], [""|g,1,0>"", 0.34693795595028964], [""|g,0,1>"", 0.19276787554978295]]","|g,0,1>","|f,0,0>","|g,1,0>"
